Label,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_C6,rel_flux_C7,rel_flux_C8,rel_flux_C9,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_C8,rel_flux_err_C9,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_C8,rel_flux_SNR_C9,tot_C_cnts,tot_C_err,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Peak_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Peak_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Peak_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Peak_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Peak_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,Angle_C5,Roundness_C5,Variance_C5,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Peak_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Peak_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,Angle_C7,Roundness_C7,Variance_C7,X(FITS)_C8,Y(FITS)_C8,RA_C8,DEC_C8,Source-Sky_C8,Source_Error_C8,Peak_C8,Sky/Pixel_C8,FWHM_C8,Width_C8,Angle_C8,Roundness_C8,Variance_C8,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Peak_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,Angle_C9,Roundness_C9,Variance_C9,BJD_TDB_B,rel_flux_T1_dfn,rel_flux_err_T1_dfn,rel_flux_T1_dfn_model,rel_flux_T1_dfn_residual,rel_flux_err_T1_dfn_residual
WASP-12b_00040_bdf.fits,0,56319.514498,2456319.514498,2456319.513919,2456319.519373,2456319.520137,1.369313,46.841619,-20.000000,100,6.509110,29.672297,11.184067,18,32,48,0.155513,0.190852,0.157116,0.212123,0.122143,0.132180,0.127129,0.100422,0.110257,0.000217,0.000265,0.000243,0.000279,0.000221,0.000228,0.000224,0.000208,0.000214,716.720845,719.868304,647.540739,758.964041,553.492223,579.093217,567.100690,482.647248,516.277607,7578211.751213,4103.509887,2400.581779,2086.260331,6.509100,29.672475,1178512.278785,1017.876020,1515.428817,11014.317383,1206.275666,3460,12.325509,13.454778,79.439535,0.996466,2866854.449255,1876.517888,2200.928572,6.513397,29.660197,1214524.069594,1522.345655,11483.439453,1206.760381,12.228326,13.360198,84.069222,0.995655,3103501.540884,2745.084145,1405.618782,6.506276,29.745169,1028985.368925,1470.664038,10683.062500,1206.249533,11.120107,13.084656,83.792885,0.997981,2465137.670621,3796.468751,2018.155374,6.497662,29.679489,1326197.441014,1550.422958,16132.540039,1213.155464,9.001686,12.504452,80.005132,0.993619,4987543.931217,1815.020375,2308.841492,6.513900,29.648667,824874.483759,1414.084932,8271.932617,1207.479032,12.108375,13.287103,86.811502,0.995518,1452739.990024,2041.169600,649.409467,6.512075,29.825851,884741.072176,1440.924204,10484.685547,1220.594658,9.800569,12.609263,88.032047,0.999671,2085267.776571,2833.630139,3222.552886,6.505576,29.551021,854747.525892,1425.631598,9200.827148,1209.925146,10.862159,12.845815,68.132577,0.998069,1794554.172848,2431.618266,1756.176463,6.508846,29.707730,691568.768849,1379.303777,7184.655762,1205.703030,11.903805,13.342330,80.946578,0.997144,1025718.998870,1513.995840,3015.530691,6.516370,29.573177,752573.021003,1394.198666,7004.102539,1207.460862,11.306065,13.545748,298.480946,0.994238,1130943.458886,2456319.520137,1.002673,0.001399,0.985000,0.002673,0.001399
WASP-12b_00041_bdf.fits,0,56319.515877,2456319.515877,2456319.515298,2456319.520752,2456319.521516,1.360719,47.230696,-19.940000,100,6.509110,29.672297,10.403882,18,32,48,0.155227,0.191220,0.156659,0.212338,0.122096,0.132822,0.127007,0.099999,0.110155,0.000218,0.000267,0.000244,0.000282,0.000222,0.000230,0.000225,0.000208,0.000215,713.267575,717.475294,642.022515,753.894545,550.891328,577.170528,564.043741,479.617431,513.231584,7508754.429515,4088.032813,2400.955401,2081.615435,6.509099,29.672450,1165561.691172,1017.876020,1505.872081,9788.142578,1200.513802,3479,11.075004,14.295265,300.988387,0.998320,2357010.305374,1876.898420,2196.269492,6.513396,29.660175,1205338.066709,1514.975780,10536.842773,1200.127992,11.112032,14.329360,299.877431,0.997524,2527056.340879,2745.476575,1400.965168,6.506275,29.745165,1016995.427605,1466.927115,9448.291016,1199.539012,10.362190,14.172502,309.237106,0.999151,1908544.664729,3796.752060,2013.592276,6.497659,29.679312,1315141.939987,1548.470032,13156.678711,1205.814889,9.249314,13.773926,285.985661,0.999199,3638479.411466,1815.406932,2304.229456,6.513900,29.648637,817033.119493,1407.125475,7380.678711,1198.908992,10.813637,14.323970,299.432356,0.998161,1168282.523940,2041.370304,644.673132,6.512075,29.825976,880391.295928,1438.185414,9199.764648,1211.779657,9.050026,13.955728,323.165251,0.997686,1561371.340975,2834.061028,3217.881230,6.505574,29.550990,846192.723357,1419.006179,8128.135254,1202.531363,9.898119,13.965234,305.981719,0.999744,1402018.523884,2431.979743,1751.476617,6.508845,29.707725,682605.326426,1370.122818,6374.190430,1200.793731,11.071078,14.275090,295.794584,0.998576,820457.344987,1514.244210,3010.995591,6.516370,29.573125,745056.530011,1388.535777,6248.757812,1199.784757,11.003539,14.526737,314.157670,0.990255,922780.006876,2456319.521516,1.000840,0.001403,0.985000,0.000840,0.001403
WASP-12b_00042_bdf.fits,0,56319.517256,2456319.517256,2456319.516677,2456319.522131,2456319.522895,1.352290,47.619962,-19.930000,100,6.509110,29.672297,11.472916,18,32,48,0.155702,0.191235,0.156889,0.212399,0.122085,0.132870,0.126911,0.100000,0.109935,0.000215,0.000263,0.000240,0.000277,0.000219,0.000227,0.000222,0.000205,0.000211,725.674850,727.462598,653.920761,766.205414,558.494471,586.536860,572.860671,486.947210,520.518575,7619688.301449,4084.772029,2400.751935,2078.243377,6.509105,29.672514,1186402.842529,1017.876020,1506.113558,10254.905273,1184.564445,3457,12.387817,13.508495,89.005899,0.998231,2839365.226026,1876.731507,2192.966366,6.513401,29.660234,1223229.831305,1517.041039,10456.354492,1185.860477,12.544147,13.484598,81.801747,0.997294,3016502.126277,2745.319616,1397.694791,6.506281,29.745206,1033328.952090,1462.532301,9917.753906,1184.333115,11.345624,13.282510,77.302152,0.998349,2371905.781297,3796.711820,2010.154516,6.497661,29.679406,1334885.258807,1546.084379,14982.876953,1190.742231,9.566496,12.621062,77.074215,0.995333,4858074.732546,1815.191596,2300.886756,6.513906,29.648700,829038.083958,1408.678567,7542.482910,1183.086669,12.626028,13.468115,88.099388,0.997726,1388806.830903,2041.322409,641.370074,6.512080,29.825998,893682.882313,1436.453541,9774.644531,1196.975352,9.713826,12.911920,79.884418,0.999953,1992054.490258,2833.846861,3214.419650,6.505577,29.551061,858120.614938,1416.850396,8344.492188,1187.758956,11.129017,12.923866,54.236358,0.997482,1736203.173208,2431.849475,1748.142866,6.508851,29.707781,692701.521715,1369.495629,6687.846680,1184.130852,12.195135,13.370566,80.293130,0.997500,994126.672632,1514.111185,3007.422984,6.516374,29.573201,754701.156323,1387.016212,6718.364258,1186.643195,11.748151,13.613761,305.166790,0.994582,1111042.102042,2456319.522895,1.003915,0.001383,0.985000,0.003915,0.001383
WASP-12b_00043_bdf.fits,0,56319.518635,2456319.518635,2456319.518056,2456319.523510,2456319.524274,1.344024,48.009346,-19.960000,100,6.509110,29.672297,12.067395,18,32,48,0.155893,0.190635,0.156734,0.212286,0.121839,0.133104,0.127085,0.100274,0.110264,0.000215,0.000262,0.000240,0.000278,0.000218,0.000226,0.000222,0.000206,0.000212,726.027143,726.651895,651.948956,764.272980,558.218979,587.772549,572.607677,487.782191,520.274789,7622791.457803,4089.903789,2401.599486,2079.767376,6.509101,29.672557,1188336.241783,1017.876020,1507.476826,10573.519531,1190.775930,3381,13.039261,13.908560,76.338236,0.997950,2613463.581021,1877.611921,2194.411959,6.513397,29.660284,1220503.214840,1515.489097,10737.554688,1191.681260,13.245519,13.904146,79.084032,0.997886,2740788.955715,2746.192650,1399.192995,6.506278,29.745251,1032864.336780,1466.923353,10298.454102,1189.715710,11.762961,13.513916,71.813823,0.998636,2219141.747774,3797.618746,2011.639953,6.497661,29.679448,1334841.427473,1550.806664,15113.287109,1195.697073,10.316769,12.933637,75.472653,0.994388,4498335.412994,1816.114773,2302.303417,6.513901,29.648753,827885.762508,1407.347655,7781.255859,1190.030414,12.913924,13.794783,85.159065,0.997672,1292772.696681,2042.166965,642.951179,6.512078,29.826024,895434.762605,1435.627393,10124.502930,1202.383113,10.525160,13.154109,86.960079,0.999993,1899841.548941,2834.709889,3215.937204,6.505575,29.551108,859509.457844,1419.693980,8229.398438,1193.112508,11.861341,13.311048,57.940402,0.997645,1604502.256381,2432.705683,1749.674108,6.508847,29.707822,694707.488987,1370.801073,6804.814941,1189.999338,12.738653,13.847396,71.214519,0.997765,918194.649479,1514.975873,3009.056884,6.516371,29.573239,757045.006767,1391.926850,6531.844727,1191.383163,12.202963,13.976098,301.235515,0.995745,1026570.349177,2456319.524274,1.005153,0.001384,0.985000,0.005153,0.001384
WASP-12b_00044_bdf.fits,0,56319.520014,2456319.520014,2456319.519435,2456319.524889,2456319.525653,1.335915,48.398866,-20.000000,100,6.509110,29.672297,13.149105,18,32,48,0.155277,0.190794,0.156785,0.212359,0.121907,0.133071,0.126958,0.100166,0.110215,0.000217,0.000266,0.000243,0.000280,0.000221,0.000229,0.000225,0.000208,0.000214,715.195461,717.078374,644.877546,757.092191,551.080191,579.900496,565.024971,480.713609,514.688919,7521901.143130,4085.111686,2400.794662,2084.071535,6.509107,29.672434,1167981.735365,1017.876020,1504.868192,7308.807129,1192.026617,3421,13.781323,15.514201,16.545963,0.997044,1680878.887002,1876.723035,2198.711041,6.513404,29.660162,1205192.111619,1516.910939,7529.240723,1192.478953,14.214715,15.513192,15.870532,0.997449,1776438.342713,2745.362190,1403.472828,6.506280,29.745132,1019482.965161,1463.437563,6881.131836,1190.514918,13.053501,15.315532,18.497931,0.995533,1367954.096313,3796.821505,2015.968082,6.497659,29.679382,1317551.639019,1543.852693,9898.234375,1195.548525,11.508042,14.783350,29.372613,0.996011,2716741.255921,1815.151348,2306.577802,6.513908,29.648635,817331.890789,1407.535218,5390.704102,1189.234577,14.067587,15.532215,13.841174,0.997528,818338.411798,2041.269982,647.215518,6.512079,29.825855,883391.685489,1435.824562,6558.839844,1203.453402,11.933069,15.003787,8.059167,0.992330,1146086.230552,2833.853812,3220.350224,6.505580,29.550946,847382.925705,1418.673769,6173.335449,1194.555365,12.598336,14.996616,20.093160,0.992421,1030298.815874,2431.873751,1753.869078,6.508852,29.707709,684841.769368,1371.504047,4814.179199,1189.333273,13.872536,15.388124,23.235750,0.996480,595470.920188,1514.127655,3013.364343,6.516375,29.573117,746726.155979,1387.653370,5053.245605,1191.364191,13.312837,15.627584,345.554182,0.995654,671931.234859,2456319.525653,1.001198,0.001400,0.985000,0.001198,0.001400
WASP-12b_00045_bdf.fits,0,56319.521393,2456319.521393,2456319.520815,2456319.526268,2456319.527033,1.327962,48.788558,-20.040000,100,6.509110,29.672297,12.352922,18,32,48,0.155927,0.190520,0.156776,0.212781,0.122327,0.133078,0.127073,0.100026,0.109722,0.000217,0.000264,0.000241,0.000279,0.000220,0.000229,0.000223,0.000207,0.000213,719.979002,721.712497,649.321013,761.687411,555.897922,581.951468,568.826652,483.171662,514.872233,7536092.090817,4069.775602,2396.294254,2079.816632,6.509102,29.672492,1175080.417928,1017.876020,1503.682371,7792.104004,1174.916402,3348,13.163826,15.291572,295.939702,0.996151,1860055.526165,1872.252961,2194.468504,6.513397,29.660216,1206009.523864,1507.877474,7679.616211,1178.645724,13.349904,15.294093,293.790196,0.994992,1942859.348999,2740.814310,1399.157363,6.506278,29.745206,1021352.450698,1455.738734,7725.651855,1175.835921,12.124248,14.954794,300.158422,0.996063,1554325.111042,3792.198848,2011.727987,6.497664,29.679335,1322200.358795,1539.713812,10771.667969,1180.485191,10.688071,14.519062,288.656065,0.996172,3011417.925865,1810.757807,2302.361110,6.513901,29.648684,821387.701646,1401.719824,5830.306641,1174.113465,13.127944,15.264197,293.778927,0.995574,914233.455403,2036.714161,642.787714,6.512077,29.826012,885100.618161,1433.973730,7365.916992,1186.767440,11.219966,14.690186,313.958049,0.995387,1275980.297813,2829.347619,3215.901071,6.505578,29.551034,849661.727903,1412.779576,6552.795898,1181.932430,11.955371,14.733628,298.411749,0.998818,1126580.682042,2427.371533,1749.702969,6.508847,29.707764,685262.335234,1365.427957,5202.586426,1176.024026,13.046392,15.186042,295.171599,0.996241,650971.080217,1509.628001,3008.975725,6.516371,29.573183,745117.374516,1384.935497,5452.533691,1179.225816,12.500577,15.298091,306.982336,0.986416,745706.061139,2456319.527033,1.005397,0.001396,0.985000,0.005397,0.001396
WASP-12b_00046_bdf.fits,0,56319.522773,2456319.522773,2456319.522194,2456319.527648,2456319.528412,1.320161,49.178300,-20.060000,100,6.509110,29.672297,12.069103,18,32,48,0.155672,0.191140,0.156795,0.211752,0.121778,0.133240,0.127288,0.099862,0.110369,0.000216,0.000264,0.000242,0.000279,0.000220,0.000228,0.000223,0.000206,0.000213,720.757486,723.122958,648.060304,759.675552,554.122255,583.247039,569.955563,484.229477,518.398891,7537450.099518,4067.975455,2404.114160,2074.921044,6.509097,29.672314,1173367.073335,1017.876020,1499.745729,7824.720215,1178.356281,3458,12.965283,15.262251,324.857442,0.999800,1878568.698226,1879.953514,2189.619112,6.513393,29.660029,1209518.167535,1508.731997,7904.684570,1177.863245,12.992238,15.242923,305.085712,0.999887,1987161.102633,2748.614411,1394.283692,6.506273,29.745054,1021645.746207,1459.724528,7648.821777,1177.763786,11.771288,15.066490,8.784572,0.999906,1551181.165928,3799.991837,2006.874038,6.497659,29.679283,1317159.791726,1539.641315,11078.805664,1182.949923,10.618728,14.626725,53.734638,0.999891,2930866.149354,1818.473553,2297.508497,6.513897,29.648499,818247.883956,1401.510754,5823.208008,1176.676851,13.128666,15.222862,314.461624,0.999782,920886.646277,2044.492707,638.143559,6.512074,29.825885,886212.167133,1432.253201,7321.915039,1189.637447,10.671939,14.774564,351.567287,0.997940,1276270.608085,2837.249559,3211.276740,6.505573,29.550910,851091.848413,1412.094961,6585.751465,1180.901363,11.458590,14.833168,8.462362,0.999621,1131056.982858,2435.099307,1744.746818,6.508843,29.707597,684362.882953,1360.461160,5169.818359,1177.832020,12.594787,15.148185,34.299366,0.999992,659463.475018,1517.350604,3004.332560,6.516367,29.573007,749211.611596,1382.176766,5452.544922,1178.177401,12.420410,15.433062,319.592190,0.994253,746411.047460,2456319.528412,1.003760,0.001393,0.985000,0.003760,0.001393
WASP-12b_00047_bdf.fits,0,56319.524152,2456319.524152,2456319.523573,2456319.529027,2456319.529791,1.312510,49.568144,-20.000000,100,6.509110,29.672297,18.890501,18,32,48,0.154939,0.190702,0.156806,0.213119,0.122193,0.133023,0.127107,0.099537,0.109902,0.000218,0.000267,0.000245,0.000283,0.000222,0.000230,0.000225,0.000209,0.000216,709.557719,713.844945,641.308185,753.942583,549.530254,577.213319,564.118493,476.534128,509.977876,7470217.218090,4076.675152,2401.577442,2073.248792,6.509098,29.672306,1157428.547806,1017.876020,1503.941435,5193.951660,1191.303737,3343,19.673631,17.615747,73.145114,0.998279,953501.305378,1877.623293,2187.908964,6.513393,29.660025,1196424.582756,1512.573480,5360.251953,1191.643679,19.712829,17.597943,74.910217,0.997939,1012781.240074,2746.144421,1392.702145,6.506273,29.745045,1012592.194005,1461.843176,4838.263184,1189.046456,18.862481,17.185603,76.924569,0.998701,802889.356712,3797.294936,2005.039024,6.497660,29.679283,1312356.270901,1543.793168,6904.129883,1194.426181,16.810851,16.403332,77.533917,0.994938,1649180.853534,1816.175777,2295.804244,6.513897,29.648491,813413.872654,1404.383171,3961.812988,1187.743517,19.756708,17.586745,76.923637,0.998055,470066.041489,2042.115938,636.506607,6.512073,29.825889,877043.405558,1432.104021,4742.222656,1203.368624,17.352587,16.748780,57.711729,0.999796,684428.698246,2834.624934,3209.225150,6.505573,29.550909,842437.638023,1412.042033,4119.474609,1191.468358,18.812024,16.983879,58.050219,0.997759,576837.083639,2432.667754,1743.143429,6.508843,29.707587,676251.652291,1366.639644,3607.514160,1189.693410,19.543880,17.481386,75.370678,0.998287,332926.824073,1515.087346,3002.492574,6.516366,29.572995,739697.601902,1387.925903,3621.638672,1190.679765,19.489514,17.523267,292.887882,0.997730,386807.407742,2456319.529791,0.999047,0.001408,0.985000,-0.000953,0.001408
WASP-12b_00048_bdf.fits,0,56319.525531,2456319.525531,2456319.524952,2456319.530406,2456319.531170,1.305005,49.958075,-19.960000,100,6.509110,29.672297,18.977371,18,32,48,0.155240,0.190343,0.156615,0.213123,0.121736,0.132869,0.127153,0.100105,0.110358,0.000214,0.000262,0.000240,0.000278,0.000218,0.000226,0.000222,0.000205,0.000211,724.574876,726.696575,652.102477,766.916697,557.326942,587.304479,572.983004,487.486845,522.384096,7586673.571640,4067.012076,2398.907630,2079.048032,6.509097,29.672298,1177753.672200,1017.876020,1497.811779,5575.305664,1170.651085,3474,19.985053,17.488022,62.599527,0.996146,1058419.470855,1874.866757,2193.764645,6.513393,29.660009,1213157.100360,1506.620660,5793.959961,1172.069694,19.738258,17.449373,66.729349,0.996677,1142970.945814,2743.295054,1398.562666,6.506274,29.745026,1027299.516043,1458.857087,5394.304688,1171.167814,18.772014,16.980110,64.485205,0.997431,921469.036438,3794.585087,2010.911905,6.497659,29.679270,1332837.678816,1541.760576,7415.367188,1175.019301,16.937112,16.114955,73.437462,0.992033,1867209.059564,1813.408225,2301.600978,6.513897,29.648482,823339.480846,1402.296109,4135.891602,1169.682853,19.813237,17.492353,66.662247,0.996539,522905.850825,2039.337855,642.273149,6.512074,29.825866,889805.272619,1428.082839,5126.810059,1184.173524,17.619521,16.357729,36.944776,0.997313,795241.967755,2831.852852,3214.902575,6.505573,29.550908,855843.605949,1412.753788,4531.283203,1173.852661,18.611519,16.696858,54.068624,0.994950,660034.684562,2429.888789,1749.044793,6.508843,29.707566,690355.711580,1363.215748,3877.635254,1169.923124,19.597287,17.379250,63.944349,0.996483,376844.030208,1512.396044,3008.091138,6.516366,29.573003,754035.205426,1380.328339,3807.542725,1170.966773,19.722337,17.343503,280.495709,0.999080,423440.106473,2456319.531170,1.000996,0.001381,0.985000,0.000996,0.001381
WASP-12b_00049_bdf.fits,0,56319.526910,2456319.526910,2456319.526331,2456319.531785,2456319.532549,1.297644,50.348060,-19.930000,100,6.509110,29.672297,19.502285,18,32,48,0.155300,0.190873,0.156974,0.212248,0.122118,0.132752,0.127082,0.099768,0.110453,0.000215,0.000263,0.000241,0.000277,0.000219,0.000227,0.000221,0.000205,0.000212,723.668192,725.948332,650.966076,765.797706,557.901299,585.817859,573.753686,485.558050,521.445414,7554784.670202,4055.033565,2401.758638,2080.311558,6.509098,29.672292,1173254.316098,1017.876020,1493.956392,5423.334473,1163.670288,3428,20.256895,17.793061,68.382354,0.997647,1002438.753192,1877.803800,2194.929901,6.513394,29.660014,1210877.893737,1505.218330,5525.289062,1164.267048,20.252568,17.750487,66.757617,0.997500,1070889.171808,2746.278966,1399.837699,6.506274,29.745025,1025003.125178,1458.270041,5180.980957,1162.825298,19.346989,17.242617,66.246414,0.998491,866787.301780,3797.598101,2012.110605,6.497659,29.679280,1322738.227572,1532.480942,6956.820801,1167.377136,17.775774,16.403993,73.894958,0.994322,1729192.776237,1816.338265,2302.798313,6.513897,29.648484,822170.591683,1398.462439,4131.177734,1162.496294,20.231267,17.700292,69.426376,0.998207,499901.141214,2042.350134,643.648465,6.512074,29.825870,885375.236590,1424.841479,4927.442871,1176.004362,18.121048,16.652710,34.401160,0.998681,743501.685793,2834.782670,3216.120228,6.505574,29.550909,851824.966889,1403.730765,4241.128906,1165.821611,19.217797,17.063451,51.909898,0.996155,604488.887133,2432.817937,1750.329368,6.508844,29.707561,685347.336834,1359.022644,3775.268066,1161.754539,19.947631,17.586451,67.631503,0.997546,361699.427495,1515.300631,3009.345103,6.516367,29.572999,751447.291718,1378.148252,3727.729980,1163.483789,20.370596,17.630143,290.360004,0.998839,399599.866652,2456319.532549,1.001391,0.001384,0.985000,0.001391,0.001384
