Label,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_T4,rel_flux_T5,rel_flux_C6,rel_flux_C7,rel_flux_T8,rel_flux_C9,rel_flux_T10,rel_flux_C11,rel_flux_C12,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_T4,rel_flux_err_T5,rel_flux_err_C6,rel_flux_err_C7,rel_flux_err_T8,rel_flux_err_C9,rel_flux_err_T10,rel_flux_err_C11,rel_flux_err_C12,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_T4,rel_flux_SNR_T5,rel_flux_SNR_C6,rel_flux_SNR_C7,rel_flux_SNR_T8,rel_flux_SNR_C9,rel_flux_SNR_T10,rel_flux_SNR_C11,rel_flux_SNR_C12,tot_C_cnts,tot_C_err,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Peak_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Peak_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Peak_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(FITS)_T4,Y(FITS)_T4,RA_T4,DEC_T4,Source-Sky_T4,Source_Error_T4,Peak_T4,Sky/Pixel_T4,FWHM_T4,Width_T4,Angle_T4,Roundness_T4,Variance_T4,X(FITS)_T5,Y(FITS)_T5,RA_T5,DEC_T5,Source-Sky_T5,Source_Error_T5,Peak_T5,Sky/Pixel_T5,FWHM_T5,Width_T5,Angle_T5,Roundness_T5,Variance_T5,X(FITS)_C6,Y(FITS)_C6,RA_C6,DEC_C6,Source-Sky_C6,Source_Error_C6,Peak_C6,Sky/Pixel_C6,FWHM_C6,Width_C6,Angle_C6,Roundness_C6,Variance_C6,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Peak_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,Angle_C7,Roundness_C7,Variance_C7,X(FITS)_T8,Y(FITS)_T8,RA_T8,DEC_T8,Source-Sky_T8,Source_Error_T8,Peak_T8,Sky/Pixel_T8,FWHM_T8,Width_T8,Angle_T8,Roundness_T8,Variance_T8,X(FITS)_C9,Y(FITS)_C9,RA_C9,DEC_C9,Source-Sky_C9,Source_Error_C9,Peak_C9,Sky/Pixel_C9,FWHM_C9,Width_C9,Angle_C9,Roundness_C9,Variance_C9,X(FITS)_T10,Y(FITS)_T10,RA_T10,DEC_T10,Source-Sky_T10,Source_Error_T10,Peak_T10,Sky/Pixel_T10,FWHM_T10,Width_T10,Angle_T10,Roundness_T10,Variance_T10,X(FITS)_C11,Y(FITS)_C11,RA_C11,DEC_C11,Source-Sky_C11,Source_Error_C11,Peak_C11,Sky/Pixel_C11,FWHM_C11,Width_C11,Angle_C11,Roundness_C11,Variance_C11,X(FITS)_C12,Y(FITS)_C12,RA_C12,DEC_C12,Source-Sky_C12,Source_Error_C12,Peak_C12,Sky/Pixel_C12,FWHM_C12,Width_C12,Angle_C12,Roundness_C12,Variance_C12,BJD_TDB_B,rel_flux_T1_dfn,rel_flux_err_T1_dfn,rel_flux_T1_dfn_model,rel_flux_T1_dfn_residual,rel_flux_err_T1_dfn_residual
WASP-12b_00040_bdf.fits,0,56319.514498,2456319.514498,2456319.513919,2456319.519373,2456319.520137,1.369313,46.841619,-20.000000,100,6.509110,29.672297,10.621441,18,32,48,0.188501,0.241097,0.197009,0.202378,0.212123,0.151991,0.164840,0.230396,0.158367,0.134759,0.124373,0.136845,0.000268,0.000345,0.000311,0.000275,0.000279,0.000279,0.000289,0.000289,0.000284,0.000242,0.000260,0.000268,703.111737,698.660713,633.396672,734.740726,758.964041,545.460884,569.666485,797.184083,558.350686,557.653867,477.644268,509.974908,6252014.310199,3799.339685,2400.581779,2086.260331,6.509100,29.672475,1178512.278785,1017.876020,1515.428817,11014.317383,1206.275666,3460,12.325509,13.454778,79.439535,0.996466,2866854.449255,1876.517888,2200.928572,6.513397,29.660197,1214524.069594,1522.345655,11483.439453,1206.760381,12.228326,13.360198,84.069222,0.995655,3103501.540884,2745.084145,1405.618782,6.506276,29.745169,1028985.368925,1470.664038,10683.062500,1206.249533,11.120107,13.084656,83.792885,0.997981,2465137.670621,3100.272726,3880.917579,6.503426,29.480567,1265272.167012,1540.875930,15705.913086,1215.671754,8.879296,12.200100,47.422945,0.997184,4920602.760563,3796.468751,2018.155374,6.497662,29.679489,1326197.441014,1550.422958,16132.540039,1213.155464,9.001686,12.504452,80.005132,0.993619,4987543.931217,1815.020375,2308.841492,6.513900,29.648667,824874.483759,1414.084932,8271.932617,1207.479032,12.108375,13.287103,86.811502,0.995518,1452739.990024,2041.169600,649.409467,6.512075,29.825851,884741.072176,1440.924204,10484.685547,1220.594658,9.800569,12.609263,88.032047,0.999671,2085267.776571,679.609540,1484.823746,6.523236,29.736222,1440436.811364,1580.718166,17269.671875,1208.513313,9.873971,12.669276,78.069032,0.991847,5606019.731226,2833.630139,3222.552886,6.505576,29.551021,854747.525892,1425.631598,9200.827148,1209.925146,10.862159,12.845815,68.132577,0.998069,1794554.172848,2866.295810,335.535507,6.505301,29.859462,842516.071597,1421.423693,11828.172852,1207.591511,8.047422,12.231208,78.941914,0.999154,2274339.893559,2431.618266,1756.176463,6.508846,29.707730,691568.768849,1379.303777,7184.655762,1205.703030,11.903805,13.342330,80.946578,0.997144,1025718.998870,1513.995840,3015.530691,6.516370,29.573177,752573.021003,1394.198666,7004.102539,1207.460862,11.306065,13.545748,298.480946,0.994238,1130943.458886,2456319.520137,1.001681,0.001425,0.985000,0.001681,0.001425
WASP-12b_00041_bdf.fits,0,56319.515877,2456319.515877,2456319.515298,2456319.520752,2456319.521516,1.360719,47.230696,-19.940000,100,6.509110,29.672297,9.958537,18,32,48,0.188188,0.241634,0.196459,0.201761,0.212338,0.151962,0.165698,0.230307,0.158243,0.134188,0.123862,0.136744,0.000269,0.000347,0.000313,0.000276,0.000282,0.000280,0.000292,0.000291,0.000285,0.000243,0.000261,0.000270,699.739345,696.260651,628.146270,729.988604,753.894545,542.902720,567.746447,791.578711,555.361442,552.984707,474.667904,506.988999,6193612.489528,3783.418143,2400.955401,2081.615435,6.509099,29.672450,1165561.691172,1017.876020,1505.872081,9788.142578,1200.513802,3479,11.075004,14.295265,300.988387,0.998320,2357010.305374,1876.898420,2196.269492,6.513396,29.660175,1205338.066709,1514.975780,10536.842773,1200.127992,11.112032,14.329360,299.877431,0.997524,2527056.340879,2745.476575,1400.965168,6.506275,29.745165,1016995.427605,1466.927115,9448.291016,1199.539012,10.362190,14.172502,309.237106,0.999151,1908544.664729,3100.625824,3876.267385,6.503425,29.480569,1249628.226752,1532.227505,13591.821289,1208.919401,8.584133,13.500958,314.616741,0.999980,3637288.386375,3796.752060,2013.592276,6.497659,29.679312,1315141.939987,1548.470032,13156.678711,1205.814889,9.249314,13.773926,285.985661,0.999199,3638479.411466,1815.406932,2304.229456,6.513900,29.648637,817033.119493,1407.125475,7380.678711,1198.908992,10.813637,14.323970,299.432356,0.998161,1168282.523940,2041.370304,644.673132,6.512075,29.825976,880391.295928,1438.185414,9199.764648,1211.779657,9.050026,13.955728,323.165251,0.997686,1561371.340975,679.858565,1480.208133,6.523234,29.736163,1426433.410313,1577.337973,14162.364258,1201.874632,9.046199,13.867183,292.387349,0.998933,4172347.885645,2834.061028,3217.881230,6.505574,29.550990,846192.723357,1419.006179,8128.135254,1202.531363,9.898119,13.965234,305.981719,0.999744,1402018.523884,2866.594460,330.752023,6.505299,29.859588,831110.624791,1414.609915,9612.322266,1201.240780,8.237169,13.622574,313.754283,0.999421,1569185.262651,2431.979743,1751.476617,6.508845,29.707725,682605.326426,1370.122818,6374.190430,1200.793731,11.071078,14.275090,295.794584,0.998576,820457.344987,1514.244210,3010.995591,6.516370,29.573125,745056.530011,1388.535777,6248.757812,1199.784757,11.003539,14.526737,314.157670,0.990255,922780.006876,2456319.521516,1.000025,0.001429,0.985000,0.000025,0.001429
WASP-12b_00042_bdf.fits,0,56319.517256,2456319.517256,2456319.516677,2456319.522131,2456319.522895,1.352290,47.619962,-19.930000,100,6.509110,29.672297,10.920139,18,32,48,0.188773,0.241670,0.196769,0.202526,0.212399,0.151956,0.165769,0.230290,0.158130,0.134546,0.123871,0.136471,0.000265,0.000342,0.000308,0.000273,0.000277,0.000276,0.000287,0.000286,0.000280,0.000239,0.000257,0.000265,711.840800,706.009701,639.656458,741.359450,766.205414,550.417261,576.927914,804.774886,564.026557,562.663651,481.916879,514.197485,6284803.042643,3780.871013,2400.751935,2078.243377,6.509105,29.672514,1186402.842529,1017.876020,1506.113558,10254.905273,1184.564445,3457,12.387817,13.508495,89.005899,0.998231,2839365.226026,1876.731507,2192.966366,6.513401,29.660234,1223229.831305,1517.041039,10456.354492,1185.860477,12.544147,13.484598,81.801747,0.997294,3016502.126277,2745.319616,1397.694791,6.506281,29.745206,1033328.952090,1462.532301,9917.753906,1184.333115,11.345624,13.282510,77.302152,0.998349,2371905.781297,3100.527081,3872.784561,6.503423,29.480630,1272836.494545,1536.682941,14762.083008,1193.806519,9.127559,12.266942,45.099775,0.996662,4860507.938836,3796.711820,2010.154516,6.497661,29.679406,1334885.258807,1546.084379,14982.876953,1190.742231,9.566496,12.621062,77.074215,0.995333,4858074.732546,1815.191596,2300.886756,6.513906,29.648700,829038.083958,1408.678567,7542.482910,1183.086669,12.626028,13.468115,88.099388,0.997726,1388806.830903,2041.322409,641.370074,6.512080,29.825998,893682.882313,1436.453541,9774.644531,1196.975352,9.713826,12.911920,79.884418,0.999953,1992054.490258,679.787651,1476.921566,6.523238,29.736249,1447328.700980,1573.602391,15421.852539,1186.513837,10.221507,12.787931,76.617794,0.994616,5350329.788920,2833.846861,3214.419650,6.505577,29.551061,858120.614938,1416.850396,8344.492188,1187.758956,11.129017,12.923866,54.236358,0.997482,1736203.173208,2866.454001,327.494263,6.505305,29.859576,845597.345033,1414.132515,10933.484375,1186.382885,8.436360,12.431566,63.645437,0.999553,2131922.507126,2431.849475,1748.142866,6.508851,29.707781,692701.521715,1369.495629,6687.846680,1184.130852,12.195135,13.370566,80.293130,0.997500,994126.672632,1514.111185,3007.422984,6.516374,29.573201,754701.156323,1387.016212,6718.364258,1186.643195,11.748151,13.613761,305.166790,0.994582,1111042.102042,2456319.522895,1.003145,0.001409,0.985000,0.003145,0.001409
WASP-12b_00043_bdf.fits,0,56319.518635,2456319.518635,2456319.518056,2456319.523510,2456319.524274,1.344024,48.009346,-19.960000,100,6.509110,29.672297,11.451726,18,32,48,0.188986,0.240852,0.196546,0.202524,0.212286,0.151626,0.166051,0.231067,0.158335,0.134604,0.124205,0.136875,0.000265,0.000341,0.000308,0.000273,0.000278,0.000276,0.000287,0.000287,0.000281,0.000239,0.000257,0.000266,712.202045,705.327410,637.860974,740.873742,764.272980,550.170140,578.108179,804.458661,563.802527,563.086521,482.732090,513.976145,6287950.030330,3784.483016,2401.599486,2079.767376,6.509101,29.672557,1188336.241783,1017.876020,1507.476826,10573.519531,1190.775930,3381,13.039261,13.908560,76.338236,0.997950,2613463.581021,1877.611921,2194.411959,6.513397,29.660284,1220503.214840,1515.489097,10737.554688,1191.681260,13.245519,13.904146,79.084032,0.997886,2740788.955715,2746.192650,1399.192995,6.506278,29.745251,1032864.336780,1466.923353,10298.454102,1189.715710,11.762961,13.513916,71.813823,0.998636,2219141.747774,3101.385918,3874.401290,6.503424,29.480664,1273460.864756,1538.521463,14164.721680,1198.912489,9.506516,12.631735,43.019652,0.995467,4431585.359331,3797.618746,2011.639953,6.497661,29.679448,1334841.427473,1550.806664,15113.287109,1195.697073,10.316769,12.933637,75.472653,0.994388,4498335.412994,1816.114773,2302.303417,6.513901,29.648753,827885.762508,1407.347655,7781.255859,1190.030414,12.913924,13.794783,85.159065,0.997672,1292772.696681,2042.166965,642.951179,6.512078,29.826024,895434.762605,1435.627393,10124.502930,1202.383113,10.525160,13.154109,86.960079,0.999993,1899841.548941,680.551305,1478.435899,6.523236,29.736261,1452938.016968,1580.292421,15547.697266,1193.057807,10.633634,13.060069,75.987237,0.992762,5090926.302499,2834.709889,3215.937204,6.505575,29.551108,859509.457844,1419.693980,8229.398438,1193.112508,11.861341,13.311048,57.940402,0.997645,1604502.256381,2867.332129,329.016835,6.505306,29.859622,846385.743236,1414.167077,10965.767578,1191.264053,8.674013,12.652289,30.927987,0.999627,2012603.301665,2432.705683,1749.674108,6.508847,29.707822,694707.488987,1370.801073,6804.814941,1189.999338,12.738653,13.847396,71.214519,0.997765,918194.649479,1514.975873,3009.056884,6.516371,29.573239,757045.006767,1391.926850,6531.844727,1191.383163,12.202963,13.976098,301.235515,0.995745,1026570.349177,2456319.524274,1.004286,0.001410,0.985000,0.004286,0.001410
WASP-12b_00044_bdf.fits,0,56319.520014,2456319.520014,2456319.519435,2456319.524889,2456319.525653,1.335915,48.398866,-20.000000,100,6.509110,29.672297,12.650628,18,32,48,0.188252,0.241079,0.196627,0.201950,0.212359,0.151723,0.166021,0.230302,0.158183,0.134154,0.124077,0.136823,0.000268,0.000346,0.000312,0.000276,0.000280,0.000279,0.000291,0.000290,0.000284,0.000242,0.000261,0.000269,701.573568,695.973499,630.815010,732.587780,757.092191,543.099971,570.339993,794.805012,556.309463,554.498567,475.735407,508.397892,6204349.504111,3782.149699,2400.794662,2084.071535,6.509107,29.672434,1167981.735365,1017.876020,1504.868192,7308.807129,1192.026617,3421,13.781323,15.514201,16.545963,0.997044,1680878.887002,1876.723035,2198.711041,6.513404,29.660162,1205192.111619,1516.910939,7529.240723,1192.478953,14.214715,15.513192,15.870532,0.997449,1776438.342713,2745.362190,1403.472828,6.506280,29.745132,1019482.965161,1463.437563,6881.131836,1190.514918,13.053501,15.315532,18.497931,0.995533,1367954.096313,3100.486289,3878.733535,6.503428,29.480469,1252969.452851,1530.307666,10265.091797,1199.803537,10.662788,14.418351,21.529594,0.985428,2753067.297534,3796.821505,2015.968082,6.497659,29.679382,1317551.639019,1543.852693,9898.234375,1195.548525,11.508042,14.783350,29.372613,0.996011,2716741.255921,1815.151348,2306.577802,6.513908,29.648635,817331.890789,1407.535218,5390.704102,1189.234577,14.067587,15.532215,13.841174,0.997528,818338.411798,2041.269982,647.215518,6.512079,29.825855,883391.685489,1435.824562,6558.839844,1203.453402,11.933069,15.003787,8.059167,0.992330,1146086.230552,679.754660,1482.636768,6.523239,29.736174,1428872.857922,1572.659055,9804.925781,1192.709639,12.169440,15.047984,28.850114,0.996072,2928924.714196,2833.853812,3220.350224,6.505580,29.550946,847382.925705,1418.673769,6173.335449,1194.555365,12.598336,14.996616,20.093160,0.992421,1030298.815874,2866.501742,333.290880,6.505299,29.859462,832339.242728,1412.711942,7156.177246,1192.280599,10.633358,14.554994,13.701988,0.992138,1170182.813122,2431.873751,1753.869078,6.508852,29.707709,684841.769368,1371.504047,4814.179199,1189.333273,13.872536,15.388124,23.235750,0.996480,595470.920188,1514.127655,3013.364343,6.516375,29.573117,746726.155979,1387.653370,5053.245605,1191.364191,13.312837,15.627584,345.554182,0.995654,671931.234859,2456319.525653,1.000394,0.001426,0.985000,0.000394,0.001426
WASP-12b_00045_bdf.fits,0,56319.521393,2456319.521393,2456319.520815,2456319.526268,2456319.527033,1.327962,48.788558,-20.040000,100,6.509110,29.672297,11.819042,18,32,48,0.189105,0.240822,0.196696,0.202816,0.212781,0.152320,0.166098,0.230829,0.158394,0.134636,0.123948,0.136249,0.000268,0.000344,0.000310,0.000275,0.000279,0.000278,0.000290,0.000289,0.000283,0.000241,0.000259,0.000268,706.216991,700.396775,635.093910,737.162859,761.687411,547.772567,572.392697,798.875874,560.014516,558.645781,478.166264,508.650411,6213891.732022,3767.274191,2396.294254,2079.816632,6.509102,29.672492,1175080.417928,1017.876020,1503.682371,7792.104004,1174.916402,3348,13.163826,15.291572,295.939702,0.996151,1860055.526165,1872.252961,2194.468504,6.513397,29.660216,1206009.523864,1507.877474,7679.616211,1178.645724,13.349904,15.294093,293.790196,0.994992,1942859.348999,2740.814310,1399.157363,6.506278,29.745206,1021352.450698,1455.738734,7725.651855,1175.835921,12.124248,14.954794,300.158422,0.996063,1554325.111042,3095.996518,3874.443257,6.503429,29.480572,1260275.636332,1529.392759,11304.788086,1185.912866,9.832532,14.176523,300.645052,0.999392,3010872.983739,3792.198848,2011.727987,6.497664,29.679335,1322200.358795,1539.713812,10771.667969,1180.485191,10.688071,14.519062,288.656065,0.996172,3011417.925865,1810.757807,2302.361110,6.513901,29.648684,821387.701646,1401.719824,5830.306641,1174.113465,13.127944,15.264197,293.778927,0.995574,914233.455403,2036.714161,642.787714,6.512077,29.826012,885100.618161,1433.973730,7365.916992,1186.767440,11.219966,14.690186,313.958049,0.995387,1275980.297813,675.158815,1478.304271,6.523235,29.736175,1434348.521245,1570.818819,10811.242188,1179.275364,11.097782,14.708281,290.637463,0.996158,3329619.653270,2829.347619,3215.901071,6.505578,29.551034,849661.727903,1412.779576,6552.795898,1181.932430,11.955371,14.733628,298.411749,0.998818,1126580.682042,2861.874622,329.013023,6.505303,29.859611,836611.309661,1409.061864,7898.108398,1175.836992,9.721891,14.337984,313.723359,0.996723,1300816.892353,2427.371533,1749.702969,6.508847,29.707764,685262.335234,1365.427957,5202.586426,1176.024026,13.046392,15.186042,295.171599,0.996241,650971.080217,1509.628001,3008.975725,6.516371,29.573183,745117.374516,1384.935497,5452.533691,1179.225816,12.500577,15.298091,306.982336,0.986416,745706.061139,2456319.527033,1.004937,0.001423,0.985000,0.004937,0.001423
WASP-12b_00046_bdf.fits,0,56319.522773,2456319.522773,2456319.522194,2456319.527648,2456319.528412,1.320161,49.178300,-20.060000,100,6.509110,29.672297,11.604554,18,32,48,0.188635,0.241384,0.196522,0.202321,0.211752,0.151470,0.166142,0.230492,0.158514,0.134463,0.123622,0.136940,0.000267,0.000344,0.000310,0.000274,0.000279,0.000277,0.000290,0.000288,0.000282,0.000241,0.000258,0.000267,707.086947,701.864983,634.077839,737.526903,759.675552,546.172186,573.713742,799.676519,561.174713,558.966011,479.238890,512.095326,6220290.307793,3765.359069,2404.114160,2074.921044,6.509097,29.672314,1173367.073335,1017.876020,1499.745729,7824.720215,1178.356281,3458,12.965283,15.262251,324.857442,0.999800,1878568.698226,1879.953514,2189.619112,6.513393,29.660029,1209518.167535,1508.731997,7904.684570,1177.863245,12.992238,15.242923,305.085712,0.999887,1987161.102633,2748.614411,1394.283692,6.506273,29.745054,1021645.746207,1459.724528,7648.821777,1177.763786,11.771288,15.066490,8.784572,0.999906,1551181.165928,3103.960136,3869.762831,6.503424,29.480564,1258498.294841,1526.879311,10906.039062,1186.231718,9.992654,14.388276,9.989263,0.997270,2904038.527092,3799.991837,2006.874038,6.497659,29.679283,1317159.791726,1539.641315,11078.805664,1182.949923,10.618728,14.626725,53.734638,0.999891,2930866.149354,1818.473553,2297.508497,6.513897,29.648499,818247.883956,1401.510754,5823.208008,1176.676851,13.128666,15.222862,314.461624,0.999782,920886.646277,2044.492707,638.143559,6.512074,29.825885,886212.167133,1432.253201,7321.915039,1189.637447,10.671939,14.774564,351.567287,0.997940,1276270.608085,683.000483,1473.546881,6.523233,29.736090,1433730.053058,1568.826952,10932.805664,1180.135455,11.164395,14.722798,31.585826,0.999852,3327398.378427,2837.249559,3211.276740,6.505573,29.550910,851091.848413,1412.094961,6585.751465,1180.901363,11.458590,14.833168,8.462362,0.999621,1131056.982858,2869.657708,324.248355,6.505299,29.859542,836395.888503,1408.067790,8001.670898,1177.902888,9.475671,14.359209,13.705549,0.997528,1308334.542335,2435.099307,1744.746818,6.508843,29.707597,684362.882953,1360.461160,5169.818359,1177.832020,12.594787,15.148185,34.299366,0.999992,659463.475018,1517.350604,3004.332560,6.516367,29.573007,749211.611596,1382.176766,5452.544922,1178.177401,12.420410,15.433062,319.592190,0.994253,746411.047460,2456319.528412,1.002448,0.001418,0.985000,0.002448,0.001418
WASP-12b_00047_bdf.fits,0,56319.524152,2456319.524152,2456319.523573,2456319.529027,2456319.529791,1.312510,49.568144,-20.000000,100,6.509110,29.672297,18.321449,18,32,48,0.187960,0.241145,0.196801,0.204328,0.213119,0.152198,0.166081,0.231354,0.158489,0.134974,0.123367,0.136522,0.000270,0.000348,0.000314,0.000279,0.000283,0.000281,0.000293,0.000292,0.000285,0.000244,0.000262,0.000271,696.087639,692.759812,627.309554,732.874632,753.942583,541.509816,567.666088,792.472578,555.321476,553.603720,471.631501,503.794234,6157860.947188,3773.060158,2401.577442,2073.248792,6.509098,29.672306,1157428.547806,1017.876020,1503.941435,5193.951660,1191.303737,3343,19.673631,17.615747,73.145114,0.998279,953501.305378,1877.623293,2187.908964,6.513393,29.660025,1196424.582756,1512.573480,5360.251953,1191.643679,19.712829,17.597943,74.910217,0.997939,1012781.240074,2746.144421,1392.702145,6.506273,29.745045,1012592.194005,1461.843176,4838.263184,1189.046456,18.862481,17.185603,76.924569,0.998701,802889.356712,3101.188860,3867.444221,6.503424,29.480564,1258223.548257,1534.002941,6306.496582,1197.776926,16.764227,16.162161,46.966776,0.995642,1605664.135438,3797.294936,2005.039024,6.497660,29.679283,1312356.270901,1543.793168,6904.129883,1194.426181,16.810851,16.403332,77.533917,0.994938,1649180.853534,1816.175777,2295.804244,6.513897,29.648491,813413.872654,1404.383171,3961.812988,1187.743517,19.756708,17.586745,76.923637,0.998055,470066.041489,2042.115938,636.506607,6.512073,29.825889,877043.405558,1432.104021,4742.222656,1203.368624,17.352587,16.748780,57.711729,0.999796,684428.698246,680.778910,1471.868424,6.523232,29.736096,1424643.290773,1571.566473,7030.696777,1192.576124,17.571887,16.716897,74.276285,0.993245,1815284.599749,2834.624934,3209.225150,6.505573,29.550909,842437.638023,1412.042033,4119.474609,1191.468358,18.812024,16.983879,58.050219,0.997759,576837.083639,2867.273369,322.616190,6.505299,29.859540,831153.648085,1412.339619,5200.713867,1189.711332,15.506772,16.050535,293.880604,0.999996,747747.265030,2432.667754,1743.143429,6.508843,29.707587,676251.652291,1366.639644,3607.514160,1189.693410,19.543880,17.481386,75.370678,0.998287,332926.824073,1515.087346,3002.492574,6.516366,29.572995,739697.601902,1387.925903,3621.638672,1190.679765,19.489514,17.523267,292.887882,0.997730,386807.407742,2456319.529791,0.998864,0.001435,0.985000,-0.001136,0.001435
WASP-12b_00048_bdf.fits,0,56319.525531,2456319.525531,2456319.524952,2456319.530406,2456319.531170,1.305005,49.958075,-19.960000,100,6.509110,29.672297,18.416578,18,32,48,0.188325,0.240673,0.196555,0.203628,0.213123,0.151614,0.165884,0.231274,0.158549,0.134973,0.124087,0.137102,0.000265,0.000341,0.000308,0.000274,0.000278,0.000276,0.000287,0.000287,0.000281,0.000239,0.000257,0.000266,710.759119,705.272647,637.934955,743.470907,766.916697,549.282812,577.619631,804.963196,564.113209,565.159096,482.421016,515.963452,6253835.892823,3763.450751,2398.907630,2079.048032,6.509097,29.672298,1177753.672200,1017.876020,1497.811779,5575.305664,1170.651085,3474,19.985053,17.488022,62.599527,0.996146,1058419.470855,1874.866757,2193.764645,6.513393,29.660009,1213157.100360,1506.620660,5793.959961,1172.069694,19.738258,17.449373,66.729349,0.996677,1142970.945814,2743.295054,1398.562666,6.506274,29.745026,1027299.516043,1458.857087,5394.304688,1171.167814,18.772014,16.980110,64.485205,0.997431,921469.036438,3098.444916,3873.114049,6.503424,29.480552,1273457.522901,1531.857150,6929.728516,1179.543851,16.887485,15.734122,40.609514,0.989385,1822071.303370,3794.585087,2010.911905,6.497659,29.679270,1332837.678816,1541.760576,7415.367188,1175.019301,16.937112,16.114955,73.437462,0.992033,1867209.059564,1813.408225,2301.600978,6.513897,29.648482,823339.480846,1402.296109,4135.891602,1169.682853,19.813237,17.492353,66.662247,0.996539,522905.850825,2039.337855,642.273149,6.512074,29.825866,889805.272619,1428.082839,5126.810059,1184.173524,17.619521,16.357729,36.944776,0.997313,795241.967755,678.169261,1477.777239,6.523231,29.736066,1446351.518640,1571.904611,7899.395020,1173.948162,17.686174,16.391910,66.873654,0.988141,2092966.617485,2831.852852,3214.902575,6.505573,29.550908,855843.605949,1412.753788,4531.283203,1173.852661,18.611519,16.696858,54.068624,0.994950,660034.684562,2864.592266,328.317653,6.505299,29.859521,844098.869928,1404.525930,5575.548340,1171.374221,15.628938,15.486063,28.914013,0.999074,889550.636078,2429.888789,1749.044793,6.508843,29.707566,690355.711580,1363.215748,3877.635254,1169.923124,19.597287,17.379250,63.944349,0.996483,376844.030208,1512.396044,3008.091138,6.516366,29.573003,754035.205426,1380.328339,3807.542725,1170.966773,19.722337,17.343503,280.495709,0.999080,423440.106473,2456319.531170,1.000815,0.001408,0.985000,0.000815,0.001408
WASP-12b_00049_bdf.fits,0,56319.526910,2456319.526910,2456319.526331,2456319.531785,2456319.532549,1.297644,50.348060,-19.930000,100,6.509110,29.672297,18.950253,18,32,48,0.188261,0.241155,0.196849,0.203520,0.212248,0.151976,0.165594,0.231458,0.158325,0.134668,0.123559,0.137110,0.000265,0.000342,0.000309,0.000274,0.000277,0.000276,0.000287,0.000288,0.000280,0.000240,0.000257,0.000266,709.896141,704.569286,636.866960,743.893130,765.797706,549.818367,576.208029,804.265772,564.831485,562.108853,480.554595,515.057428,6232046.442630,3754.304114,2401.758638,2080.311558,6.509098,29.672292,1173254.316098,1017.876020,1493.956392,5423.334473,1163.670288,3428,20.256895,17.793061,68.382354,0.997647,1002438.753192,1877.803800,2194.929901,6.513394,29.660014,1210877.893737,1505.218330,5525.289062,1164.267048,20.252568,17.750487,66.757617,0.997500,1070889.171808,2746.278966,1399.837699,6.506274,29.745025,1025003.125178,1458.270041,5180.980957,1162.825298,19.346989,17.242617,66.246414,0.998491,866787.301780,3101.378271,3874.363095,6.503425,29.480559,1268347.920987,1524.223632,6573.487793,1172.461063,17.285452,16.028480,41.009019,0.993186,1706730.357476,3797.598101,2012.110605,6.497659,29.679280,1322738.227572,1532.480942,6956.820801,1167.377136,17.775774,16.403993,73.894958,0.994322,1729192.776237,1816.338265,2302.798313,6.513897,29.648484,822170.591683,1398.462439,4131.177734,1162.496294,20.231267,17.700292,69.426376,0.998207,499901.141214,2042.350134,643.648465,6.512074,29.825870,885375.236590,1424.841479,4927.442871,1176.004362,18.121048,16.652710,34.401160,0.998681,743501.685793,681.075014,1479.008441,6.523232,29.736085,1442458.493810,1568.941576,7344.180176,1165.891283,18.426334,16.691686,69.288009,0.991861,1935682.113227,2834.782670,3216.120228,6.505574,29.550909,851824.966889,1403.730765,4241.128906,1165.821611,19.217797,17.063451,51.909898,0.996155,604488.887133,2867.508497,329.827576,6.505299,29.859514,839256.695567,1404.842768,5296.817383,1162.726122,16.170685,15.823405,17.326315,0.999660,815076.905438,2432.817937,1750.329368,6.508844,29.707561,685347.336834,1359.022644,3775.268066,1161.754539,19.947631,17.586451,67.631503,0.997546,361699.427495,1515.300631,3009.345103,6.516367,29.572999,751447.291718,1378.148252,3727.729980,1163.483789,20.370596,17.630143,290.360004,0.998839,399599.866652,2456319.532549,1.000485,0.001409,0.985000,0.000485,0.001409
