Label,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_C4,rel_flux_C5,rel_flux_T6,rel_flux_C7,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_err_C4,rel_flux_err_C5,rel_flux_err_T6,rel_flux_err_C7,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,rel_flux_SNR_C4,rel_flux_SNR_C5,rel_flux_SNR_T6,rel_flux_SNR_C7,tot_C_cnts,tot_C_err,X(FITS)_T1,Y(FITS)_T1,RA_T1,DEC_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Peak_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,Angle_T1,Roundness_T1,Variance_T1,X(FITS)_C2,Y(FITS)_C2,RA_C2,DEC_C2,Source-Sky_C2,Source_Error_C2,Peak_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,Angle_C2,Roundness_C2,Variance_C2,X(FITS)_C3,Y(FITS)_C3,RA_C3,DEC_C3,Source-Sky_C3,Source_Error_C3,Peak_C3,Sky/Pixel_C3,FWHM_C3,Width_C3,Angle_C3,Roundness_C3,Variance_C3,X(FITS)_C4,Y(FITS)_C4,RA_C4,DEC_C4,Source-Sky_C4,Source_Error_C4,Peak_C4,Sky/Pixel_C4,FWHM_C4,Width_C4,Angle_C4,Roundness_C4,Variance_C4,X(FITS)_C5,Y(FITS)_C5,RA_C5,DEC_C5,Source-Sky_C5,Source_Error_C5,Peak_C5,Sky/Pixel_C5,FWHM_C5,Width_C5,Angle_C5,Roundness_C5,Variance_C5,X(FITS)_T6,Y(FITS)_T6,RA_T6,DEC_T6,Source-Sky_T6,Source_Error_T6,Peak_T6,Sky/Pixel_T6,FWHM_T6,Width_T6,Angle_T6,Roundness_T6,Variance_T6,X(FITS)_C7,Y(FITS)_C7,RA_C7,DEC_C7,Source-Sky_C7,Source_Error_C7,Peak_C7,Sky/Pixel_C7,FWHM_C7,Width_C7,Angle_C7,Roundness_C7,Variance_C7
WASP-12b_00040_bdf.fits,0,56319.514498,2456319.514498,2456319.513919,2456319.519373,2456319.520137,1.369313,46.841619,-20.000000,100,6.509110,29.672297,10.962175,18,32,48,0.231710,0.313699,0.253622,0.352717,0.193575,0.165649,0.157369,0.000333,0.000458,0.000406,0.000494,0.000358,0.000299,0.000332,694.971628,684.206622,624.195387,714.345549,540.522848,553.566448,474.693162,5086150.132141,3284.252648,2400.581779,2086.260331,6.509100,29.672475,1178512.278785,1017.876020,1515.428817,11014.317383,1206.275666,3357,12.325509,13.454778,79.439535,0.996466,2866854.449255,1876.517888,2200.928572,6.513397,29.660197,1214524.069594,1522.345655,11483.439453,1206.760381,12.228326,13.360198,84.069222,0.995655,3103501.540884,2745.084145,1405.618782,6.506276,29.745169,1028985.368925,1470.664038,10683.062500,1206.249533,11.120107,13.084656,83.792885,0.997981,2465137.670621,3796.468751,2018.155374,6.497662,29.679489,1326197.441014,1550.422958,16132.540039,1213.155464,9.001686,12.504452,80.005132,0.993619,4987543.931217,1815.020375,2308.841492,6.513900,29.648667,824874.483759,1414.084932,8271.932617,1207.479032,12.108375,13.287103,86.811502,0.995518,1452739.990024,2866.295810,335.535507,6.505301,29.859462,842516.071597,1421.423693,11828.172852,1207.591511,8.047422,12.231208,78.941914,0.999154,2274339.893559,2431.618266,1756.176463,6.508846,29.707730,691568.768849,1379.303777,7184.655762,1205.703030,11.903805,13.342330,80.946578,0.997144,1025718.998870
WASP-12b_00041_bdf.fits,0,56319.515877,2456319.515877,2456319.515298,2456319.520752,2456319.521516,1.360719,47.230696,-19.940000,100,6.509110,29.672297,10.274346,18,32,48,0.231395,0.314564,0.252976,0.353345,0.193606,0.164997,0.156758,0.000335,0.000461,0.000409,0.000498,0.000360,0.000301,0.000332,691.551453,681.622446,619.031479,709.637095,537.925631,548.916856,471.706710,5037113.880220,3271.394940,2400.955401,2081.615435,6.509099,29.672450,1165561.691172,1017.876020,1505.872081,9788.142578,1200.513802,3501,11.075004,14.295265,300.988387,0.998320,2357010.305374,1876.898420,2196.269492,6.513396,29.660175,1205338.066709,1514.975780,10536.842773,1200.127992,11.112032,14.329360,299.877431,0.997524,2527056.340879,2745.476575,1400.965168,6.506275,29.745165,1016995.427605,1466.927115,9448.291016,1199.539012,10.362190,14.172502,309.237106,0.999151,1908544.664729,3796.752060,2013.592276,6.497659,29.679312,1315141.939987,1548.470032,13156.678711,1205.814889,9.249314,13.773926,285.985661,0.999199,3638479.411466,1815.406932,2304.229456,6.513900,29.648637,817033.119493,1407.125475,7380.678711,1198.908992,10.813637,14.323970,299.432356,0.998161,1168282.523940,2866.594460,330.752023,6.505299,29.859588,831110.624791,1414.609915,9612.322266,1201.240780,8.237169,13.622574,313.754283,0.999421,1569185.262651,2431.979743,1751.476617,6.508845,29.707725,682605.326426,1370.122818,6374.190430,1200.793731,11.071078,14.275090,295.794584,0.998576,820457.344987
WASP-12b_00042_bdf.fits,0,56319.517256,2456319.517256,2456319.516677,2456319.522131,2456319.522895,1.352290,47.619962,-19.930000,100,6.509110,29.672297,11.300229,18,32,48,0.232028,0.314459,0.253276,0.353303,0.193513,0.165376,0.156703,0.000330,0.000455,0.000402,0.000490,0.000355,0.000296,0.000327,703.513552,691.302107,630.315362,721.143782,545.419426,558.524044,478.924719,5113183.647875,3269.661257,2400.751935,2078.243377,6.509105,29.672514,1186402.842529,1017.876020,1506.113558,10254.905273,1184.564445,3412,12.387817,13.508495,89.005899,0.998231,2839365.226026,1876.731507,2192.966366,6.513401,29.660234,1223229.831305,1517.041039,10456.354492,1185.860477,12.544147,13.484598,81.801747,0.997294,3016502.126277,2745.319616,1397.694791,6.506281,29.745206,1033328.952090,1462.532301,9917.753906,1184.333115,11.345624,13.282510,77.302152,0.998349,2371905.781297,3796.711820,2010.154516,6.497661,29.679406,1334885.258807,1546.084379,14982.876953,1190.742231,9.566496,12.621062,77.074215,0.995333,4858074.732546,1815.191596,2300.886756,6.513906,29.648700,829038.083958,1408.678567,7542.482910,1183.086669,12.626028,13.468115,88.099388,0.997726,1388806.830903,2866.454001,327.494263,6.505305,29.859576,845597.345033,1414.132515,10933.484375,1186.382885,8.436360,12.431566,63.645437,0.999553,2131922.507126,2431.849475,1748.142866,6.508851,29.707781,692701.521715,1369.495629,6687.846680,1184.130852,12.195135,13.370566,80.293130,0.997500,994126.672632
WASP-12b_00043_bdf.fits,0,56319.518635,2456319.518635,2456319.518056,2456319.523510,2456319.524274,1.344024,48.009346,-19.960000,100,6.509110,29.672297,11.813014,18,32,48,0.232515,0.313730,0.253281,0.353510,0.193300,0.165607,0.157313,0.000330,0.000454,0.000403,0.000491,0.000355,0.000296,0.000328,703.702287,690.407375,628.454266,719.354816,545.072221,558.857523,479.654410,5110802.230587,3273.117114,2401.599486,2079.767376,6.509101,29.672557,1188336.241783,1017.876020,1507.476826,10573.519531,1190.775930,3460,13.039261,13.908560,76.338236,0.997950,2613463.581021,1877.611921,2194.411959,6.513397,29.660284,1220503.214840,1515.489097,10737.554688,1191.681260,13.245519,13.904146,79.084032,0.997886,2740788.955715,2746.192650,1399.192995,6.506278,29.745251,1032864.336780,1466.923353,10298.454102,1189.715710,11.762961,13.513916,71.813823,0.998636,2219141.747774,3797.618746,2011.639953,6.497661,29.679448,1334841.427473,1550.806664,15113.287109,1195.697073,10.316769,12.933637,75.472653,0.994388,4498335.412994,1816.114773,2302.303417,6.513901,29.648753,827885.762508,1407.347655,7781.255859,1190.030414,12.913924,13.794783,85.159065,0.997672,1292772.696681,2867.332129,329.016835,6.505306,29.859622,846385.743236,1414.167077,10965.767578,1191.264053,8.674013,12.652289,30.927987,0.999627,2012603.301665,2432.705683,1749.674108,6.508847,29.707822,694707.488987,1370.801073,6804.814941,1189.999338,12.738653,13.847396,71.214519,0.997765,918194.649479
WASP-12b_00044_bdf.fits,0,56319.520014,2456319.520014,2456319.519435,2456319.524889,2456319.525653,1.335915,48.398866,-20.000000,100,6.509110,29.672297,13.018723,18,32,48,0.231540,0.313917,0.253293,0.353530,0.193357,0.165003,0.157090,0.000334,0.000461,0.000407,0.000496,0.000359,0.000300,0.000332,693.357912,681.483153,621.591903,712.299579,538.150747,550.415492,472.770050,5044400.375957,3269.300869,2400.794662,2084.071535,6.509107,29.672434,1167981.735365,1017.876020,1504.868192,7308.807129,1192.026617,3343,13.781323,15.514201,16.545963,0.997044,1680878.887002,1876.723035,2198.711041,6.513404,29.660162,1205192.111619,1516.910939,7529.240723,1192.478953,14.214715,15.513192,15.870532,0.997449,1776438.342713,2745.362190,1403.472828,6.506280,29.745132,1019482.965161,1463.437563,6881.131836,1190.514918,13.053501,15.315532,18.497931,0.995533,1367954.096313,3796.821505,2015.968082,6.497659,29.679382,1317551.639019,1543.852693,9898.234375,1195.548525,11.508042,14.783350,29.372613,0.996011,2716741.255921,1815.151348,2306.577802,6.513908,29.648635,817331.890789,1407.535218,5390.704102,1189.234577,14.067587,15.532215,13.841174,0.997528,818338.411798,2866.501742,333.290880,6.505299,29.859462,832339.242728,1412.711942,7156.177246,1192.280599,10.633358,14.554994,13.701988,0.992138,1170182.813122,2431.873751,1753.869078,6.508852,29.707709,684841.769368,1371.504047,4814.179199,1189.333273,13.872536,15.388124,23.235750,0.996480,595470.920188
WASP-12b_00045_bdf.fits,0,56319.521393,2456319.521393,2456319.520815,2456319.526268,2456319.527033,1.327962,48.788558,-20.040000,100,6.509110,29.672297,12.174611,18,32,48,0.232403,0.313233,0.253132,0.354096,0.193960,0.165462,0.156777,0.000333,0.000457,0.000404,0.000494,0.000357,0.000298,0.000330,698.119267,686.083576,625.980795,716.891106,542.858424,554.611614,475.266434,5056212.370237,3254.658251,2396.294254,2079.816632,6.509102,29.672492,1175080.417928,1017.876020,1503.682371,7792.104004,1174.916402,3374,13.163826,15.291572,295.939702,0.996151,1860055.526165,1872.252961,2194.468504,6.513397,29.660216,1206009.523864,1507.877474,7679.616211,1178.645724,13.349904,15.294093,293.790196,0.994992,1942859.348999,2740.814310,1399.157363,6.506278,29.745206,1021352.450698,1455.738734,7725.651855,1175.835921,12.124248,14.954794,300.158422,0.996063,1554325.111042,3792.198848,2011.727987,6.497664,29.679335,1322200.358795,1539.713812,10771.667969,1180.485191,10.688071,14.519062,288.656065,0.996172,3011417.925865,1810.757807,2302.361110,6.513901,29.648684,821387.701646,1401.719824,5830.306641,1174.113465,13.127944,15.264197,293.778927,0.995574,914233.455403,2861.874622,329.013023,6.505303,29.859611,836611.309661,1409.061864,7898.108398,1175.836992,9.721891,14.337984,313.723359,0.996723,1300816.892353,2427.371533,1749.702969,6.508847,29.707764,685262.335234,1365.427957,5202.586426,1176.024026,13.046392,15.186042,295.171599,0.996241,650971.080217
WASP-12b_00046_bdf.fits,0,56319.522773,2456319.522773,2456319.522194,2456319.527648,2456319.528412,1.320161,49.178300,-20.060000,100,6.509110,29.672297,11.935237,18,32,48,0.232307,0.314863,0.253555,0.352769,0.193316,0.165592,0.156728,0.000333,0.000458,0.000406,0.000493,0.000357,0.000298,0.000329,698.620233,686.877636,624.674749,714.991956,541.104966,554.755075,476.173229,5050934.472377,3254.635199,2404.114160,2074.921044,6.509097,29.672314,1173367.073335,1017.876020,1499.745729,7824.720215,1178.356281,3545,12.965283,15.262251,324.857442,0.999800,1878568.698226,1879.953514,2189.619112,6.513393,29.660029,1209518.167535,1508.731997,7904.684570,1177.863245,12.992238,15.242923,305.085712,0.999887,1987161.102633,2748.614411,1394.283692,6.506273,29.745054,1021645.746207,1459.724528,7648.821777,1177.763786,11.771288,15.066490,8.784572,0.999906,1551181.165928,3799.991837,2006.874038,6.497659,29.679283,1317159.791726,1539.641315,11078.805664,1182.949923,10.618728,14.626725,53.734638,0.999891,2930866.149354,1818.473553,2297.508497,6.513897,29.648499,818247.883956,1401.510754,5823.208008,1176.676851,13.128666,15.222862,314.461624,0.999782,920886.646277,2869.657708,324.248355,6.505299,29.859542,836395.888503,1408.067790,8001.670898,1177.902888,9.475671,14.359209,13.705549,0.997528,1308334.542335,2435.099307,1744.746818,6.508843,29.707597,684362.882953,1360.461160,5169.818359,1177.832020,12.594787,15.148185,34.299366,0.999992,659463.475018
WASP-12b_00047_bdf.fits,0,56319.524152,2456319.524152,2456319.523573,2456319.529027,2456319.529791,1.312510,49.568144,-20.000000,100,6.509110,29.672297,18.552451,18,32,48,0.230976,0.313642,0.253246,0.354817,0.193780,0.165865,0.156006,0.000336,0.000462,0.000410,0.000500,0.000361,0.000302,0.000333,688.029943,678.398290,618.211794,709.246646,536.573777,549.524404,468.738347,5011038.572607,3263.151445,2401.577442,2073.248792,6.509098,29.672306,1157428.547806,1017.876020,1503.941435,5193.951660,1191.303737,3418,19.673631,17.615747,73.145114,0.998279,953501.305378,1877.623293,2187.908964,6.513393,29.660025,1196424.582756,1512.573480,5360.251953,1191.643679,19.712829,17.597943,74.910217,0.997939,1012781.240074,2746.144421,1392.702145,6.506273,29.745045,1012592.194005,1461.843176,4838.263184,1189.046456,18.862481,17.185603,76.924569,0.998701,802889.356712,3797.294936,2005.039024,6.497660,29.679283,1312356.270901,1543.793168,6904.129883,1194.426181,16.810851,16.403332,77.533917,0.994938,1649180.853534,1816.175777,2295.804244,6.513897,29.648491,813413.872654,1404.383171,3961.812988,1187.743517,19.756708,17.586745,76.923637,0.998055,470066.041489,2867.273369,322.616190,6.505299,29.859540,831153.648085,1412.339619,5200.713867,1189.711332,15.506772,16.050535,293.880604,0.999996,747747.265030,2432.667754,1743.143429,6.508843,29.707587,676251.652291,1366.639644,3607.514160,1189.693410,19.543880,17.481386,75.370678,0.998287,332926.824073
WASP-12b_00048_bdf.fits,0,56319.525531,2456319.525531,2456319.524952,2456319.530406,2456319.531170,1.305005,49.958075,-19.960000,100,6.509110,29.672297,18.638843,18,32,48,0.231523,0.313167,0.253049,0.355030,0.193107,0.165933,0.157019,0.000330,0.000454,0.000403,0.000492,0.000355,0.000296,0.000328,702.385397,690.491048,628.610041,721.401802,544.270433,560.921829,479.381071,5086989.487645,3255.762129,2398.907630,2079.048032,6.509097,29.672298,1177753.672200,1017.876020,1497.811779,5575.305664,1170.651085,3415,19.985053,17.488022,62.599527,0.996146,1058419.470855,1874.866757,2193.764645,6.513393,29.660009,1213157.100360,1506.620660,5793.959961,1172.069694,19.738258,17.449373,66.729349,0.996677,1142970.945814,2743.295054,1398.562666,6.506274,29.745026,1027299.516043,1458.857087,5394.304688,1171.167814,18.772014,16.980110,64.485205,0.997431,921469.036438,3794.585087,2010.911905,6.497659,29.679270,1332837.678816,1541.760576,7415.367188,1175.019301,16.937112,16.114955,73.437462,0.992033,1867209.059564,1813.408225,2301.600978,6.513897,29.648482,823339.480846,1402.296109,4135.891602,1169.682853,19.813237,17.492353,66.662247,0.996539,522905.850825,2864.592266,328.317653,6.505299,29.859521,844098.869928,1404.525930,5575.548340,1171.374221,15.628938,15.486063,28.914013,0.999074,889550.636078,2429.888789,1749.044793,6.508843,29.707566,690355.711580,1363.215748,3877.635254,1169.923124,19.597287,17.379250,63.944349,0.996483,376844.030208
WASP-12b_00049_bdf.fits,0,56319.526910,2456319.526910,2456319.526331,2456319.531785,2456319.532549,1.297644,50.348060,-19.930000,100,6.509110,29.672297,19.140259,18,32,48,0.231588,0.314085,0.253642,0.353352,0.193727,0.165660,0.156444,0.000330,0.000455,0.000404,0.000491,0.000356,0.000297,0.000328,701.482312,689.707651,627.521703,720.360665,544.735507,557.903999,477.529075,5066137.175005,3247.055791,2401.758638,2080.311558,6.509098,29.672292,1173254.316098,1017.876020,1493.956392,5423.334473,1163.670288,3401,20.256895,17.793061,68.382354,0.997647,1002438.753192,1877.803800,2194.929901,6.513394,29.660014,1210877.893737,1505.218330,5525.289062,1164.267048,20.252568,17.750487,66.757617,0.997500,1070889.171808,2746.278966,1399.837699,6.506274,29.745025,1025003.125178,1458.270041,5180.980957,1162.825298,19.346989,17.242617,66.246414,0.998491,866787.301780,3797.598101,2012.110605,6.497659,29.679280,1322738.227572,1532.480942,6956.820801,1167.377136,17.775774,16.403993,73.894958,0.994322,1729192.776237,1816.338265,2302.798313,6.513897,29.648484,822170.591683,1398.462439,4131.177734,1162.496294,20.231267,17.700292,69.426376,0.998207,499901.141214,2867.508497,329.827576,6.505299,29.859514,839256.695567,1404.842768,5296.817383,1162.726122,16.170685,15.823405,17.326315,0.999660,815076.905438,2432.817937,1750.329368,6.508844,29.707561,685347.336834,1359.022644,3775.268066,1161.754539,19.947631,17.586451,67.631503,0.997546,361699.427495
